FW: Demand Planning - Drilling Materials 
jue, 19 de sep de 2024

0:16 - Khalid Sarfaraz (ADNOC Group D&CS) Assalamu alaikum, Ahmed.

0:18 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Wa alaikum salam, brother.

0:20 - Sheth, Kunal How are you?

0:21 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) I'm fine. Alhamdulillah. How are you? Sorry, yesterday I was busy.

0:25 - Khalid Sarfaraz (ADNOC Group D&CS) I know you're very busy, man. No problem. No, not like you. No, no, sorry. You are making us busy, you know.

0:34 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) No, haramullah. No, yesterday meeting was really fruitful. It's nice. I think the user now, they will be happy because a lot of scopes it's clear for them. I think the next meetings will be splitted by teams. This is what I understand and will be more deep dive into the point.

0:59 - Ahmed Elkasrawi (ADNOC Onshore) Yes.

0:59 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) But our target here, just we want to sit with our managers even to explain to them what the expectation that eventually they would get it from IBP. So it will be more clear. I know that the BRD, it's a valuable scope of work.

1:19 - Khalid Sarfaraz (ADNOC Group D&CS) Sure, we can connect, because there are many people here. So we can connect sometime later. Yeah, and we can agree. Also, I'm scheduling a weekly status meeting kind of thing. Very good, very good.

1:40 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Already, I discussed with Rajiv in this. But however, that's good. So today it's for drilling material.

1:47 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, right. No, it's for planning. Great.

1:51 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Akio, he's he's engaged in this stage or not.

1:56 - Khalid Sarfaraz (ADNOC Group D&CS) I don't I. Yeah, yeah.

1:59 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Akio he's here. It's showing that he's.

2:04 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) No problem, it's fine.

2:05 - Unidentified Speaker Thank you.

2:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) you Okay.

3:55 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So we have a meeting for drilling?

3:59 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, we have a meeting now.

4:02 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay. Actually I forward to the drill team I think the second one afternoon. So this one afternoon. Afternoon for EPC, industry for projects. Okay, one second. I forwarded.

4:21 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, OK.

4:27 - Yaser Salem Bin Zubaa (ADNOC - GP) So I'll just try to invite all concerned team here for drilling.

4:32 - Unidentified Speaker Inshallah.

4:33 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes.

4:40 - Khalid Sarfaraz (ADNOC Group D&CS) Hi everyone. I'm Ahmed.

4:45 - Unidentified Speaker No.

4:53 - Khalid Sarfaraz (ADNOC Group D&CS) Once you join, let me know, then we can start the session.

5:01 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Offshore mammoth joint.

5:12 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I'm sure. Yes, sir.

5:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I think Ahmed Kasra is there.

5:25 - Mohammed Ashic (ADNOC Onshore - PD) Looks seems to be busy. Let me check.

6:39 - Khalid Sarfaraz (ADNOC Group D&CS) Build if 1105 we will start. Sorry. 1105. So just will wait two more minutes where people to join and then then will start. Power.

8:03 - Khalid Sarfaraz (ADNOC Group D&CS) As-salamu alaykum and good morning. Thank you all for joining this workshop. So a few of you may be aware, but for people who are new joinees, so this workshop is for the inventory planning and optimization project. And we are going to take you through the project overview and the tool overview. What we are planning to do, and what is the purpose of the workshop. So the purpose of the current workshop is to extract the as-is information. Any questions you have related to design, please park it for later discussion. And if you have any questions, feel free to write them in the chat, and we'll get back to you. Thank you. Mohamed, you can start.

9:04 - Fakhouri, Mohamad Thank you Khalid. So I saw a lot of familiar names. For those who don't know me, my name is Mohamed Fakhoury. I'm part of the project team for the implementation of SAP IBP, focusing on process. To Khalid's point, yeah, today what we want to do, let me go to the next slide.

9:31 - Fakhouri, Mohamad What we want to do is provide you with a project overview, what we're trying to achieve, also give you an overview of SAP IBP, and mainly focusing on, I want to say, three and four. The purpose of those workshops, or we want to call them interviews, is that we want to understand your current process right now for drilling, as well as how the data is flowing for demand planning.

10:08 - Fakhouri, Mohamad So what is the objective of this project? To Khalid's point, what we're trying to do is we're implementing SAP IPP. Because we want to streamline stocking decisions, consolidate inventory levels. So with that, we will be able to do this with the implementation of SAP IPP. We'll go in more details later on of what SAP IPP is at a high level as well and what it can provide. So Um, this project, it is a 16 month project. Um, you'll notice that there are multiple streams in order to achieve this, uh, this goal. So we have the process. So in, in this current phase, we are at the, as is assessment where we're understanding your current process right now. And then the next phase will become the design phase, which is, we're targeting best practices, we're targeting your future state processes. There will be also the data stream. The data stream is, we will review your data, understand your data, and then see what gaps you have.

11:37 - Fakhouri, Mohamad And as well, the technology part, which is the implementation of SAP IBP. Now, of course, there's which is the change management, which comes with training, the change strategy, as well as communication, change communication.

12:02 - Fakhouri, Mohamad So I'll pass it to Hector to give you an overview of what SAP IBP is before we move on to the demand planning for drilling.

12:15 - Hector Palacios Thank you. Can I share the screen for these two slides?

12:20 - Unidentified Speaker Yes, yeah.

12:20 - Fakhouri, Mohamad So I'll stop sharing.

12:22 - Hector Palacios Okay, thank you very much. Perfect. Thank you very much and nice to meet you everyone. I'm Hector Palacios. I'm going to be one of the consultants lead for the implementation of the technology track. So I will be implementing specifically the IDP tool. The idea of the this intervention that I'm doing right now is just to give you a little context on what we are going to do with this tool for AdBlock. If you are having any questions, please write it on the chat. For us, it's very important to add those questions. Then later, while Mo continues with the interviews, I will be answering those questions in the chat. It's important to us to understand what are your current questions so that later when we have the specific sessions of the tool, we can address these questions that you're raising right now. So let's start by the simple idea of IUP. Stands for Integrated Business Planning. It's a cloud system from SAP that will help you to plan your supply chain network. So it's going to do that by providing you advanced algorithms that are going to help you to solve the most challenging problems on the man inventory and supply side. It will provide you integration capabilities, that means that we will need inputs for doing this modeling on the tool and solving these problems. For that, we will need to get information from source systems. We will discuss a little bit later about that. Also, we provide you a collaboration environment. That means that it will give you an interface in which you as user can interact with the data in the system. You can review the plans, you can add just the plans and then later you can visualize it in some nice dashboards. For that, you will have a couple of environments. The first one is where you work the most, is the Excel part. We have an extension of the Excel and Add-in in which you can connect and you can start using the Excel, but with all the information of the Cloud that is going to be ADP. Later, if you want to visualize your results, you also will have the opportunity to use some nice dashboards on the tool. How much of the dashboards we are going to use in the tool and outside is something that we still need to determine. But either way, you will have the capability of doing it on IoT. The purpose of implementing such a tool for AdNoc is to decrease the working capital related to the MROs. At the same time, hopefully, we can increase the asset availability and your operational reliability. And we can achieve that by having the right spare parts and also the labor, that's very important, in the right place and the right time, okay? And just for you to know as well, this is a modular tool. We have different modules for demand planning, supply planning, inventory planning. And for this project, we are targeting the three of them that are the recommended by SAP to start the MRO process on a bit. Let's continue with the next one. So this is our first slide.

15:33 - Khalid Sarfaraz (ADNOC Group D&CS) One thing, I just wanted to interrupt you here. So since this is a drilling session, so here we are, although your slide says MRO, but here it is specifically for drilling materials. Exactly. Yeah, yeah.

15:47 - Hector Palacios So please specify this for the audience. Thank you. So here we have on a slide. With the two systems, with the system IVP, where we are going to conduct this demand planning process, inventory optimization, and supply planning. For doing this, we will need a lot of information that is coming from your source systems. First of all is the master data. So we need to understand what are your parts, the drilling materials that you are going to use, what are going to be your projects in this case, and in the case of maintenance, we need to know what are the asset equipments that we need to maintain, the activities, and so on. So we will need a bunch of information that is coming from your source systems. Here we have by best practice, of course, the SAP project system. That is the module of SAP for handling these project activities. If you are not using it, that means that we will need to identify what is your source system right now, and also build the integration that will take a little longer because it's not native, let's say. We will need to build the bridge between your system and our system so we can use that information. Now, what are the questions that are going to solve these modules? Demand planning is going to tell us how many parts and drilling materials we will need in the future. Not only for project activities, for the drilling materials, but also for all the MROs that we are using in our planning for maintenance. I see that there is a question.

17:28 - 1Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Hector, actually, if you can demonstrate the drilling part previously presented. So because the old audience is not related to drilling only. So it's a different scenario and different business, actually. If you can just present the drilling part, then it will be great.

17:48 - Hector Palacios The drilling part. Let's see if the next slide answers the question. This is a very high level part, so we will show you what we are planning to do with your data, right? So let me continue with that.

18:01 - 1Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Not required, because this team is not familiar with these systems, actually. Maintenance, PMs, project system, no.

18:11 - Hector Palacios I understand, but this is only for us. It's just a source of information.

18:17 - 1Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) two stream is there actor if you aware one is MRO another one drilling yeah so if you can switch to the drilling part of it it was there in the previous slide I don't know it's available or you can check with Cesar or someone to get these slides. Abdul what are you talking about the demo which was done during the yeah even a demo and also we put the separate stream Khalid yeah in our our program, whatever the sessions, workshops. Yeah, we put a delay.

18:52 - Khalid Sarfaraz (ADNOC Group D&CS) It's a title. Even the title is not a model.

18:55 - Unidentified Speaker Yeah.

18:59 - Hector Palacios But the function is going to be mostly the same for us. Let me explain that.

19:03 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, I'm very different. I'm very different.

19:10 - Hector Palacios Let's continue with the next one.

19:12 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Continue from this, actually.

19:14 - Hector Palacios Yeah. Yes.

19:17 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) different okay you can how are you good people you had me in this meeting yes sir we invite you okay yeah go ahead if you don't know so go ahead with from the demand planning so maybe next time we

19:39 - Hector Palacios can demonstrate to the drilling part yeah yeah they of course this part of the specific sessions, we are going to have it later. This is just to give you an idea of what we will need for the project. That is going to be part of the assist session because you will understand what information we are needing for making the system work. The information that we are going to need for creating our inventory planning and supply planning is coming from different sources. One of the sources is going to be your drilling materials. So the idea is that for demand planning, we understand all the sources of demand, including the projects. And we will make sure that we know how many parts and labor we will need for the future related to these activities. On the inventor optimization part, the idea is to know how much safety stock should I have on each location for each drilling material in order to face uncertainty. Also, we will have the reorder point in case that the things are not going as planned. We can also trigger the orders whenever we are going below a threshold, so we can trigger these replenishment orders with anticipation, that is the reorder point. Finally, IDP will provide you with a supply plan that is at least- And then the supply plan will try to give you a distribution plan and procurement plan that is able to meet that demand for materials that we are going to have, and the target stock that we are getting from the inventory optimization. If the planning is not feasible, it will trigger some alerts that will tell you that we are over the capacity be related to resources or related to materials. That is the rough cut capacity plan. So in our process, we have all the sources of demand that are coming from maintenance plan. There is a corrective plan that we are going to generate a forecast for that and so on. The preventive maintenance plan from which we are going to get our demand for parts and labor, and exactly we are going to need for projects. In projects, it's not that we are going to do the project plan here on the system. For us, this is mainly an input. We need to understand what are your project activities and what are the materials related to those activities and what is labor related to those activities because then later, with this information, we can use it for our inventory optimization and for our supply planning. You will see that in the stages. This is information that is flowing to calculate the reorder point, the safety stock, and all that information. Also, it's information that we will use to calculate the supply plan for the drilling materials, and also the resource planning related to that information. Once we have all these plans, the idea is that we can also convert to value simply by multiplying by the different costs that we have related to the cost of the related to the cost of the resources, and we have the maintenance cost that can be visualized by the finance team, by the design director, and they can do the sign-off to continue with this plan. Later, all this information that we are getting for distribution plans related to the materials for the procurement plans that we are going to need for them is something that we can integrate to us for HANA as a planning independent requirement and this can further convert it there to purchase requisitions, to the stock transfer requisition, to do the more operational planning. So this is set very high level just to give you a little context. If you have any question, please just write it in the chat. If you are missing something as you were raising Abdul, please also write it on this chat and we can consider for the more specific session. But again, this is only a context interaction so you can understand what we are needing from you, right? That's it from my side, Mo, if you want to continue.

24:06 - Fakhouri, Mohamad Thank you, Hector. All right.

24:26 - Fakhouri, Mohamad So for today's session, what we're focusing on is the demand planning for drilling materials. So why is this?

24:39 - Fakhouri, Mohamad Why is this important? What is the bad planning for drilling? It is mainly for forecasting and managing your requirements for materials. And how does the system do that? To Hector's point, it takes your project activities and then lays and SAP IBP lays your demand. Now, why is this important for the demand planning? Well, one is to minimize downtime, right? If we have the necessary resources and also the parts, we will be able to minimize downtime. Another factor is cost optimization, right? If we have an effective demand plan, then we will avoid overstocking parts and materials. And the last one is we're going to enhance planning accuracy, right, because the system will take the data from your project activities.

25:48 - Fakhouri, Mohamad So for today, what we want to focus on is how you conduct a demand planning and for drilling materials. And as well as we're also going to talk about reporting. So how do you review and consolidate the math, as well as any reporting or KPIs that you currently have. What we do have, we have follow-on sessions per module. And then each module will have an as-is assessment to understand better your current process.

26:30 - Fakhouri, Mohamad Are there any questions?

26:38 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, it's clear. So basically, you're looking for the two areas, isn't it? One is the project demand plan, which is from the user side. And second thing, what are the inventory planning optimizations for the drilling it will be the under the inventory planning isn't it? Exactly yes Abdul yeah that is next week yes yeah so basically so here we have two major companies one is Ordnok Onshore and Ordnok Offshore okay handling the drilling activities so we have team members are available here and so as far our understanding so your system is capable of to connect any existing system to pull the data and do analysis. And also, if manually doing, we can feed into Excel, and from Excel, you'll build the demand plan, isn't it? So in this case, so maybe, Mahmoud, if you can just elaborate offshore activity as is case. So yes.

