Inventory Planning for Chemicals (Production/Operations) 
vie, 27 de sep de 2024

0:03 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Good morning. Good morning.

0:08 - Unidentified Speaker you Bye.

2:55 - Mohamad Fakhouri (ADNOC Group D&CS) should we start or we give it one more minute? Do we have everyone?

3:01 - Khalid Sarfaraz (ADNOC Group D&CS) Do you think anybody else should join?

3:06 - Yaser Salem Bin Zubaa (ADNOC - GP) Five minutes or two minutes. We need also to ensure that all representatives are here. Okay, we need to ensure.

3:12 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Okay, 11.

3:13 - Khalid Sarfaraz (ADNOC Group D&CS) So as a standard, 11.05. You can pull them.

3:21 - Yaser Salem Bin Zubaa (ADNOC - GP) Aysha, can you please add them to the meeting?

3:29 - Yaser Salem Bin Zubaa (ADNOC - GP) think.

3:30 - Unidentified Speaker Bye.

3:30 - Yaser Salem Bin Zubaa (ADNOC - GP) you Assalamu alaikum, sabaha al-khayr. Walaikum assalam, sabaha al-khayr.

4:45 - Unidentified Speaker Hayyakallah. Anyone...

4:47 - Yaser Salem Bin Zubaa (ADNOC - GP) Marhaba, salam, hayyakallah, marhaba. Anyone from UNEK distribution here?

4:57 - Rido Mardian (ADNOC Sour Gas - Procurement) No one?

4:59 - Yaser Salem Bin Zubaa (ADNOC - GP) Aysha, UNEK distribution, Adam, Mohammed, Mahmoud Jamal. I'm there from distribution. Yes, you are here, okay.

5:13 - Yaser Salem Bin Zubaa (ADNOC - GP) I rejected because Friday is they're saying they're off anyways.

5:33 - Khalid Sarfaraz (ADNOC Group D&CS) So I don't know from HQ anyone is there.

5:59 - Khalid Sarfaraz (ADNOC Group D&CS) Yes, it should be start. Meanwhile you add people.

6:01 - Mohamad Fakhouri (ADNOC Group D&CS) Yes, yes, yes, I just want to be.

6:24 - Mohamad Naamani (ADNOC Group D&CS) Yeah, is there anything you want to set as a context plus given that we have an hour or even less? Do we need to go into the interview of the solution or talk about the project objective and talk process just so that we're wary of the time?

6:43 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, yeah, so I believe we should go for the overview and then we can project overview and then you Yeah, so it's needed.

6:52 - Mohamad Naamani (ADNOC Group D&CS) I mean, if we have time at the end, we can cover quickly IPP, but let's focus more on solution and process. Sorry, overview and process. Go ahead, Mo. Thanks.

7:03 - Mohamad Fakhouri (ADNOC Group D&CS) Okay, so to Khaled and Mohammed's point, today what we want to understand is how you're doing things today in regards to chemicals for operations. We're going to give you a project overview why we're asking, so why we want to understand your current process, what ADNOC is implementing, and mainly what we want to spend most of the time is understanding your current process from demand or production planning, inventory and supply for chemicals, and also how the data is flowing, whether it's you know, you're bringing the, you're doing the plans in SAP, where are, or it's in an Excel sheet, which want to understand where the data is flowing. So as a project overview, what we're trying to achieve is basically implementing SAP IBP. So this will help streamline stocking the and consolidate inventory levels. It is a 16-month project, and in this project, we have multiple streams. We have the process part, we have the data part, we have, of course, the technology and change management. So we're going to take care of the trainings and as well training manuals So IBP has three modules, right we have the demand planning we have the where so basically we're taking the input from either your Consumption or plans And then there's the inventory planning. So it's the optimization of Do the reorder point creature? Safety stock, and then the supply planning.

9:17 - Mohamad Fakhouri (ADNOC Group D&CS) So this is in a nutshell the project overview of what we're trying to achieve over the next couple of months. What I'm going to do is, Yaser, I know you sent an email. Thank you for sending this email. We can start with a representative to explain to us how the planning is done for chemicals and their respective AGC.

9:52 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, this is the most important thing. Yes, to make the pictures clear and the importance of this subject for the chemicals, especially operation chemicals, we would like to hear from each representative. I think let's start with Adel. They told me that they are ready. Mohammed Najib, are you here? Mohammed Najib.

10:10 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Assalamu alaikum everyone. Go ahead please.

10:14 - Arunkumar Viswanathan (ADNOC Refining - HQ) Yes.

10:18 - Mohamad Fakhouri (ADNOC Group D&CS) I'm sorry, Mohammed Najib, you are from which AGC?

10:21 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yeah, I'm from ADNOC offshore. Offshore, okay.

10:26 - Unidentified Speaker Yes.

10:28 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Recently I've taken over the chemicals and I've just give you a brief about how we are handling chemicals. We have two types of chemical majorly that's mud chemical that's handled by drilling team and the production chemicals which is handled by MRO team.

10:47 - Mohamad Fakhouri (ADNOC Group D&CS) Today we want to talk about the production.

11:07 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) I'll just present my screen.

11:21 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) I believe you can see my screen.

11:24 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, yeah.

11:42 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) This is the overall picture of our chemicals availability in our offshore sites. We have multiple sites you can see in each and every cylinder which represent the stock level of vital chemicals in our store in our sites and we have converted the all the chemicals into number of operational days and this is the overall picture you can see some of the buffer stock in bottom line bottom and the other one and the whatever the warehouse stock availability in the light blue color. This overall picture so I will not talk about much about how important the chemicals are I believe it is already covered. Yeah, yeah.

12:40 - Rahul Patel (ADNOC Group D&CS) The labels on the top represent the chemical type?

12:44 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) No, this is, we have, okay, I'll just go through. We have multiple sites like Umushafe, Loverzakum, Nasarumullulu, like that. And yeah, this one. So, overall chemicals, we are not specifying any particular chemical, but overall operational we are talking about.

13:01 - Rahul Patel (ADNOC Group D&CS) So all the chemicals of that site will have this.

13:06 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes, so here we can. Yes, absolutely. So we have a 10 days of buffer stock available in the site. Their promise and other 135 days of another stock which is available in the warehouse. So overall, yes we can, we can. I have a question.

13:28 - Aysha Abdulla Al Ali (ADNOC - GP) and down buffer stock in day, store stock in day, you mean in day this is your consumption per day?

13:35 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) No no no of 10 operation or of 10 stock we have at the site and 35 days of stock we have in the warehouse.

13:47 - Unidentified Speaker Okay.

13:48 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) So because since it is a Agnoc offshore, offshore we do we have a very very limited space available. So we don't stock much in the site premise.

14:02 - Tariq Umar Muhammad Qureshi (ADNOC Onshore - PD) I have a question. In Upper Zerchum, why buffer 20 stock is kept?

14:10 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Because of the space availability, because there are multiple various factors are there, which is we are ready to stock a lot of stock at the site, but we have a very, very limited space, as I mentioned earlier.

14:24 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) So this is actually a management overview. I will just show you how individual chemicals are monitored. When we are talking about the chemical plan, we used to send a template to end user and we used to collect all the vital chemical requirements from the end user. So, the format is like this only item number and description and it's a unit of measurement which is in the system and quarterly basis consumption for the next three years. Moreover we will be taking what is the minimum storage available in the site and the maximum storage they can go. Okay we cannot talk a lot yes yes please.

15:20 - Mohamad Fakhouri (ADNOC Group D&CS) So you said the template to the engineer on site, and they'll tell you what are the chemicals needed. So they basically do the demand planning, let's say, production planning. And then, if I may, is this added in SAP somewhere, or this is all going to be added?

15:50 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) this is all going to be handled in excel in excel only currently we are we we are managing everything in excel only so this is what we are expecting from IBP that you know all this information can be fed

16:05 - Mohamad Fakhouri (ADNOC Group D&CS) into fed into the system and the same thing can be managed properly through ibp and are the chemicals um just a bit from data perspective um are the chemicals chemicals or materials created in SAP or no?

16:28 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Do you have an SAP number for those chemicals? Yes, we do have. Yes, for all the chemicals. Yes, we do have SAP number and for each and every chemical there can be a different type of packing. So individual packing will be having a different SAP number.

16:43 - Unidentified Speaker Okay.

16:45 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) And when we receive the plan We usually we convert this one into a basic unit that is that will be our baseline of calculation. Example if the some of the chemicals are supplied in road tankers, bulk tankers, some of them in drums, some of them in IBC. So, there are multiple packings are there. So, whatever that is then we use the conversion factor then we take it we convert this requirement into base units like a kilogram or liters.

17:20 - Rahul Patel (ADNOC Group D&CS) OK.

17:22 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Then then we we calculate the product requirements. Then we convert the existing stock into the same and we calculate how many days we can sustain based on that.

17:38 - Rahul Patel (ADNOC Group D&CS) So this requirement does not consider any of the existing stock.

