Demand Planning - Maintenance Downstream / Upstream MRO 
mié, 18 de sep de 2024

0:08 - Nabil Ghalib (ADNOC Group D&CS) I'll try to give you just a brief about your project, okay?

0:11 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, yeah, we'll do, we'll do. Once we start, we will give you about the project, about the tool as well.

0:41 - Mazhar Hussain (ADNOC Group D&CS) I want to come with document everyone.

0:44 - Khalid Sarfaraz (ADNOC Group D&CS) As-Salaamu Alaikum.

2:23 - Murugan Kaliaperumal (ADNOC - PE&ICV) Hi, everyone.

2:54 - Khalid Sarfaraz (ADNOC Group D&CS) Hello. Hi.

2:55 - Unidentified Speaker you.

4:30 - Sebastian Alba Thank you.

4:33 - Hector Palacios Thank you.

4:54 - Unidentified Speaker Hello.

4:56 - Naamani, Mohamad Hello. I believe we can start in a minute.

5:30 - Khalid Sarfaraz (ADNOC Group D&CS) moment you have from your end all consultants available. Can we start?

5:40 - Fakhouri, Mohamad Yes, once Yeah, let me start sharing my screen.

5:54 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, sure. So Salam alaikum and good afternoon all. So this is one of our first sessions regarding disengagement. We will let you know what is the project about, what is this tool we are trying to get, and then the team will take you through some critical information which is required as part of this engagement.

6:24 - Fakhouri, Mohamad Thank you, Khalid.

6:38 - Fakhouri, Mohamad We have Gunjun.

6:39 - Jain, Gunjan (UAE) Yes, hi. Hi, good afternoon, everyone. Mohamed, if you want to go to the next slide. So as Khaled mentioned, we've got four things really on the agenda.

6:57 - Hector Palacios I see that.

7:06 - Naamani, Mohamad Unjin, can you hear us?

7:22 - Jain, Gunjan (UAE) Sorry about that.

8:13 - Jain, Gunjan (UAE) Moment, do you want to pick it up the money?

8:15 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, so can you?

8:25 - Naamani, Mohamad So I think more for holy you'll cover this and then we'll get to the IP. So hi everyone. Just per the agenda, we'll just remind everyone, I know you're aware of the project, but just quickly setting the stage. Why are we all gathering? What's the objective of the project? Then we have a couple of slides on how IBP, in a way, what you should expect from IBP. It's only a quick overview because we'll have detailed sessions later on when we do the design of the solution together. This is only for you to have this in the background before we understand how you do things today. So also you have an idea about the capability of the tool, but at a high level. Mo Fakhoury, over to you with this before Hector walks us through the IBP overview.

9:13 - Fakhouri, Mohamad Thank you, Mohamed. So why are we here? Or what are we trying to achieve? So we are implementing the SAP IBP tool. The reason behind that is that AdNoc wants to avoid or minimize overstocking. Now, it's a whole journey to implement the tool SAP IBP. And you'll notice in the next slide that there are multiple streams within that project.

10:21 - Fakhouri, Mohamad You'll notice that, so this project is going through, it's a month journey. And in this project, we have multiple streams. We have the process data where we're going to first understand your current state. And then after that, recommend best practices and do your target state. And data, what we're going to do is we're going to look at your data, we're going to see any gaps, and then recommend also how to mitigate those gaps from a data perspective. All along, you'll have also the technology part, which is the implementation of the SAP IBP.

12:06 - Fakhouri, Mohamad Any questions?

12:14 - Naamani, Mohamad I think we can proceed to IPP overview more. I mean, the overall objective of the project, I think many of the attendees are aware of, and we'll answer also some specific questions as we proceed, just also to leverage or benefit from the time.

12:30 - Fakhouri, Mohamad Yeah.

13:36 - Bilal Dabash (ADNOC Gas - IOE) Um, sorry. Sorry for the previous slide. I have a question here about the interviews with the process champions. So who's involving in this process champions and just elaborate on that one?

13:50 - Fakhouri, Mohamad Yes. So basically, it is those interviews right now that we're conducting. I see that we have and which is great. Have a very big group. Um, but at the end of each interview, what to do is, we want to nominate a process champion in order for us to...

14:11 - Bilal Dabash (ADNOC Gas - IOE) Yeah, yeah, it's okay, but from, I mean that, from which streams they are, which, and already they are not nominated, or like this, like this.

14:27 - Fakhouri, Mohamad Yeah, currently, Khaled correct me here if I'm wrong, we don't have a process champion. So what we want to do as a next step is to nominate a process champion, for example, for demand planning, whether it's going to be upstream or downstream. Now, if we can't separate them, and it's understandable, we can nominate a process champion for upstream and a process champion for downstream for maintenance, for example.

15:28 - Bilal Dabash (ADNOC Gas - IOE) Yes Yes. Thank you.

15:30 - Sheraz Kazi (ADNOC Refining - RRE) Mama. I also have a question. The previous slide you showed a timeline for the project. Yes So is this? Can you go back just for us? Yeah. So this one is it? All the GCs are going to be following the same timeline, or is it going to be phase wise?

15:49 - Naamani, Mohamad So let me off is to have two waves but yes all GCs now definitely there's always a specific order but the idea was to leverage that the fact that there's also a shared service unit today to have go live for all GCs but in two waves one for demand inventory which is the row on on top or in the lower part the first one then for supply planning. Now as we're now finalizing the project plan, if there's a specific sequence, this is something we can discuss, but the original plan, as we prepared it here, is all of them, so we can also benefit from the bigger group while taking into consideration any differences per group company. So this is the logic at this point. We're definitely detailing the plan. We'll have, as we go into discussions of the design, we can see if there's a specific order while respecting the agreed deadline with Adnoct from our side as KPMG. But if there's a specific order, this is something we can take into consideration as we do the training and the actual call.

17:05 - Sheraz Kazi (ADNOC Refining - RRE) And this project is starting this September 24.

17:09 - Naamani, Mohamad Yeah, we did the kickoff, exactly. We did the kickoff on September 2nd and we're preparing now. So yes, as we speak, we're actually, we started the first few workshops.

17:23 - 1Zainab Ahmed (ADNOC Logistics & Services) Excuse me, sir, we have been pulled to this meeting just now. Can you brief us from ADNOC? You send the invitation to our IT team, so they just include us now from inventory. So will you brief us, Zainab Ahmed, team lead inventory control. So will you just brief us, what is this project is about.

17:48 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, let me take up this topic. Zainab, hi, this is Murugan.

17:52 - Maria Terence (ADNOC Group D&CS) Yes, sir.

17:53 - 1Zainab Ahmed (ADNOC Logistics & Services) Nice to hear your voice, sir.

17:55 - Unidentified Speaker Hi.

17:57 - Murugan Kaliaperumal (ADNOC - PE&ICV) Part of Center of Scale and Improvement in Automation, we have planned to implement a software tool called IBP, which shall be supporting in planning inventory levels and enhancing the existing MRP planned order function. So, the software is finalized and implementation scope is awarded to KPMG.

19:26 - Zainab Ahmed (ADNOC Logistics & Services) Very interesting. Now I have the picture. Okay, we may proceed. We may proceed. We may proceed. Thank you.

19:39 - Seba Bakr (ADNOC Refining - HQ) Murugan, is this relevant to the digitalization ideas we discussed earlier?

19:48 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yes, yes, yes, exactly.

19:51 - Seba Bakr (ADNOC Refining - HQ) Okay, now the invites that will be sent out and the nominations that will be included, are you only approaching business or are you also approaching a digital team? Because from our end, we got it through business. Invite. So how is the approach here for the project?

20:10 - Murugan Kaliaperumal (ADNOC - PE&ICV) IT. Khalid will answer this, but can we have this discussion separate? Khalid, can you?

20:14 - Fakhouri, Mohamad Yeah, yeah, yeah, So, now what we'll do is we'll give you an overview of SAP IBP for MRO.

20:43 - Hector Palacios Thank you, Mo. Can I share quickly a screen? I think that is going to be better because I have some animations there. Sorry.

20:50 - Fakhouri, Mohamad Sure, yeah.

20:51 - Hector Palacios Okay, thank you very much, Mo.

