Inventory Planning & Inventory Excellence - Drilling 
lun, 23 de sep de 2024

0:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Oh.

0:38 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) bing Salaam alaikum. Abdul Salaam alaikum, everyone. Abdul, can you request the drilling users to attend the meeting, please?

1:30 - Unidentified Speaker Today?

1:31 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Yeah, this is for drilling part.

1:39 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) ensure for our own offshore and onshore. Our gas all of them to be here because the same question that has been raised to the, uh, uh, more, uh, items. It will be the same here. Some clarification need to be provided by them.

2:01 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay As for our understanding, actually, I'm not so last session was demand planning.

2:07 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) This session is for inventory control for drilling items in the inventory teams.

2:18 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Like you and who's handling the activity. Yeah, me and Ashley can cover mostly. Anyway, we'll try. That's the reason we didn't forward this to you.

2:27 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) I mean, even I know you will cover, but I want the others to be here even to understand the project and what we are doing.

2:50 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So we'll give it three minutes and then we can start.

3:01 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Yeah, yeah, let's wait for a few minutes. Keep his hair and you.

3:38 - Conference Room (MM- SKEC2 - L08) - Speaker 1 We'll start in a minute actually whoever comes in.

4:05 - Conference Room (MM- SKEC2 - L08) - Speaker 2 With 35, we will start.

5:20 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Ahmed Aboula. Abdul, can we start or are we still waiting?

5:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I think we can start. Ashik is here, Ashik?

5:33 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Ashik only. Ashik here, we can start.

5:40 - Bogdan Andres (ADNOC Offshore - DMET) Let me invite him again.

5:43 - Unidentified Speaker Hi, Abdul.

5:46 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Abdul, can you hear me?

5:49 - Bogdan Andres (ADNOC Offshore - DMET) Yeah, yeah, I'm there. And with that, just to let you know, we had the fire drill in the building.

5:55 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) We're all moving out.

5:57 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Oh, OK.

5:58 - Bogdan Andres (ADNOC Offshore - DMET) Yeah, another fire drill, a fire alarm. I don't know what's going on. That's fine. Fine. You can leave the meeting.

6:04 - Unidentified Speaker OK.

6:12 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) I'm trying to pull Aysha. Meanwhile, we can start in case if there is any question related to ensure we will address to him through chat box. Ashok, he's with us now. So Abdul, who from Solar Gas, we can also invite him. But we can start, meanwhile.

6:33 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, Solar Gas and Helangash, actually, what we told them, and Accio, we'll make a dedicated session for them. So after this whole session, I already spoke with Khalid. We'll make one dedicated session for these three companies.

6:48 - Conference Room (MM- SKEC2 - L08) - Speaker 1 I believe everyone now is familiar with the overview or we should want to go over it again.

7:05 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Any new journeys today?

7:09 - Conference Room (MM- SKEC2 - L08) - Speaker 2 are aware of the project.

7:10 - Unidentified Speaker I think everyone's aware.

7:20 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Everyone is aware, right? Of the project.

7:27 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Abdul, do we need to go over the overview again, or we can directly jump into a discussion?

7:33 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) We can directly jump.

7:34 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Directly jump, OK. Thank you. Let me start the recording also.

7:40 - Conference Room (MM- SKEC2 - L08) - Speaker 1 All right, so for today's discussion, what we're focusing on or what we want to focus on is now the inventory planning as well as strategic planning. Week. We heard from onshore and offshore how they created schedule in the EWS. And for onshore, the material baskets are listed in EWP. And then there's the demand. The demand is done in Excel sheet. For offshore, slightly process, the baskets are maintained manually, so then everything else is on an Excel sheet. Now, what we want to understand is now how is this handover from, you know, the demand planning to inventory, what happens next? And also, we saw from last week a lot of the materials, some of them have generic SAP number, but they don't necessarily specify or for the same material number, you can have different supply part number. But in the Excel sheet, it only lists the supply part number, not the SAP material.

9:17 - Unidentified Speaker This way they can see. Oh, okay.

9:19 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yep, sure. So maybe Abdul If you can give us this overview from ROSA's responsibilities, what falls into the demand planning team for onshore and offshore, and then if there is an inventory planning team for onshore, offshore, or if everything from the drilling team takes care of the inventory as well.

9:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay, I'll start from the discussion where last time we stopped. We elaborated up to the material allocation plan, the last session. So you'll clearly understand how to arrive on the material allocation plan in both onshore and offshore. So we'll press the sample document, and I will hand over to you. So now, once we've done the material allocation plan, then jointly, the team is determined which material to order. So over the long term, we are talking about the first long term plan. Long-term plan, normally the two to three years, we'll estimate this much quantity required. And so we gather all the information by category by category, like OCTG, then wellhead. We are actually now measure five categories under the VMI. I'll just tell the categories. Download completion equipment, it's called DCE, wellhead. Then a line of hanger LH, then cementing accessories CA. So these are the major category under the VMI. Apart from this one, we have drilling fluids, which is mud chemical, and drill bits, and some other small supplies to the well. So these are the major category. Once we gather the quantity by item by category by category, then What is the next step? So we'll arrive at the ordering quantity over the period for example So the in the beginning of the any VMI conductor, so we'll estimate Like what quantity required I'll go with one example like 1338 casing So this 1338 casing over the period we need around for example 200,000 joints So this 200,000 joints, this is the total estimate for the offshore and onshore Then the sorgas and elongation. It's all consolidated requirement. We'll get it by commodity and the size. For example, 1338, we have two, three types of casing, like weight, material are different. So we'll unify this all. Finally, we'll end up with one material number, which is called tendering material number. It's generic spec. Here, we'll say the premium We will not specify any connection. Then the size of the parameter will be listed over there, like the weight, material grade, and so on. So once we've got all the generic details, then we're ready for tendering. So then what we'll do normally, we'll make a PR, purchase request, or we'll hand over over this requirement to the category team. So maybe I'll explain the first scenario on the VMI tender, how we've done. Once we've done the...

12:56 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Abdul, just if I may, if you can... So I know, yes, last week we talked about the demand classification. Mentioned here that you look at the long-term plan and then from there, based on the categories, you do the planning. Where is this long-term plan? Is it in SAP or it is this Excel sheet that the drilling team have put Yeah, you mean the plan as such?

13:45 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) It would be the panel calculation deriving from the material allocation plan. From the material allocation plan, we can able to determine how many items to be ordered and how many items on the supply and how many items in the stock, isn't it?

14:10 - Conference Room (MM- SKEC2 - L08) - Speaker 1 This is all in Excel, right? It's not in SAP, right?

14:14 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, the planning is not in SAP, no.

14:22 - Vignesh Perumal (ADNOC Group D&CS) Is this in Excel, or do you have any other system where you have the business plans, Abdul?

14:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Up to the detailing on the system, So onshore we have like the up to the basket level. That's what we have seen last time. So the remaining the the last level material allocation plan in Excel. We actually can confirm so the final one in Excel in both companies.

14:54 - Mohammed Ashic (ADNOC Onshore - PD) Now we have we have that forecast within the AWDP. The like last time when they explained. And based on the number of well and the basket of material they will generate the requirement for each item for a three to five years period. So that is generated through the system. But these are like a generic item number. So these generic item will have a corresponding specific item number within SAP where we have the existing stock as well as on order. An agreement with supplier. So this is how we have the mapping.

15:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This one in Excel or in the system or the final deliver what we have mentioned generic material number and by supplier breakdown and all generic is defined with no generic is defined within the WDP as well.

15:53 - Mohammed Ashic (ADNOC Onshore - PD) So there is they have linked the generic number For most of the items, there were some, like last time where they're showing, there were a few items which did not have generic item based on the latest tender. Apart from that, most of the items have been mapped. The bill of material is mapped with a generic item number with SAP.

16:16 - Vignesh Perumal (ADNOC Group D&CS) Ashik, when you create a reservation or a purchase requisition in the SAP, is it a generic material number that you create the purchase requisition, or you Within SAP there is only actual demand not the forecast demand.

16:32 - Mohammed Ashic (ADNOC Onshore - PD) So on the alternate item only there is reservation. So when they are going to withdraw for the next three months they will raise the reservation on the actual number.

16:46 - Vignesh Perumal (ADNOC Group D&CS) So you are doing all the planning you know in another system and whenever you want to withdraw the materials you are actually coming and creating the reservations with that alternate material, right?

16:59 - Mohammed Ashic (ADNOC Onshore - PD) Yes, exactly.

17:01 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) But for what number? So now to better to segregate two process separately, long term plan and short term plan. That's what we used to do normally. So whatever you are doing, the MR and all is coming under the next part, which is short term plan. Which is six months window. Almost okay so in the beginning so the initiating tender that's what we are explaining now the first we want to initiate a tender so this tender initiation will go with the generic number this generic number and quantity will derived

17:37 - Mohammed Ashic (ADNOC Onshore - PD) and what are the requirements to just to correct you even if you have the generic demand on generic number we need to identify like the what for like what is the existing stock availability and existing order suppose now if you are planning for five years we should know this generic number how much is already existing so we know what is the required quantity when we are doing for five years or ten years plan so even then for that also we need to know the we don't need to just based on demand we need to see what is existing stock for the tender Tender planning as well.

18:21 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, the same thing we explain that maybe you see what we do. We will complete evaluation. What is available in stock each company? What's available on ground and what's the requirement? This difference normally we will calculate based on the generic plan and what is the requirement. This will be the final demand.

18:42 - Vignesh Perumal (ADNOC Group D&CS) Yeah.

18:53 - Vignesh Perumal (ADNOC Group D&CS) when you are going for a tender will the tender contain the generic material yes or no yes yeah tender will be generic material so you will actually so in very simple ways you have maybe a business plan for the next four or five years what you are going to do is you take into account your requirement plus already available on hand stock you know in the SAP system the delta you know is going to be your need for the next five years and you are saying that you will prepare a tender with those delta which is going to be floated to the market you will you will you know complete the tender and whatever and the next part is you know whenever you require the material you'll create the reservation for the and you will consume. Is this in short the process that you do Abdul? Yeah, in short yes. Yes, OK.

19:51 - Conference Room (MM- SKEC2 - L08) - Speaker 2 And all all the things are outside the system, except when you're creating a PR.

