To-Be Workshop- Demand - MRO Maintenance planning - Session 1 
jue, 10 de oct de 2024

2:27 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Have a good night, everybody.

4:49 - Unidentified Speaker Thank you very much. Thank you.

4:53 - Zainab Abdulla Al Harthi (ADNOC Offshore - ERSED) you Good morning. Salam Aleikum.

6:28 - Unidentified Speaker Thanks.

7:22 - Zainab Abdulla Al Harthi (ADNOC Offshore - ERSED) Some of our people, they are struggling with the card access.

7:31 - Achmad Sonhaji (Borouge) Okay.

7:33 - Zainab Abdulla Al Harthi (ADNOC Offshore - ERSED) They might take time but they are also starting to attend virtually.

7:39 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Okay, no problem.

7:41 - Conference Room (MM- SKEC2 - L08) - Speaker 8 We'll start in one and two minutes. We're just checking some key people are there.

7:46 - 1Ahmed GabAllah (ADNOC Logistics & Services) Inshallah.

8:10 - Muhammad Farooq Ahmad (ADNOC Drilling - MD) You're in this meeting.

9:36 - Conference Room (MM- SKEC2 - L08) - Speaker 5 Black induction film.

9:42 - Conference Room (MM- SKEC2 - L08) - Speaker 7 You're leaving. No, we are not there needed.

10:04 - Conference Room (MM- SKEC2 - L08) - Speaker 2 users will be the sightings.

10:08 - Conference Room (MM- SKEC2 - L08) - Speaker 7 I can come on it.

10:11 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Actually here.

10:11 - Conference Room (MM- SKEC2 - L08) - Speaker 9 There's something.

10:14 - Conference Room (MM- SKEC2 - L08) - Speaker 6 It works.

10:18 - Unidentified Speaker A lot, for example.

10:19 - Conference Room (MM- SKEC2 - L08) - Speaker 4 There are two passwords.

10:31 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Finish it. It's not one.

10:34 - Conference Room (MM- SKEC2 - L08) - Speaker 8 Good morning, everyone.

10:36 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Welcome to, uh, second day of workshop during design for design. Um, today what we'll be discussing will go. We're going to go over the demand planning for MRO maintenance. Um, and today's agenda will be discussing is we're going to give a brief introduction of what we are doing in this phase. We're going to go also give you a walkthrough of the processes for demand planning. We're also going to spend some time talking about demand input, so master data, as well as how the system classifies demand and what we need also from you. Um, after that, we're going to go over the paper processing. So how the, um before we run the forecasting what the system, uh, will, uh, Find when when they gather the, uh, the inputs as well as the forecasting and then the introduction of new spare parts. How this will be done in SAP IBP and how the logic will be also done. Lastly, the collaboration, because at the end of the day, this is a planning tool, so there needs to be some collaboration between teams, from the maintenance planner, maintenance managers, as well as the inventory planner.

12:21 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Okay, move on.

12:22 - Conference Room (MM- SKEC2 - L08) - Speaker 3 All right. Objective of this session, what we're trying to achieve in these sessions today and the following weeks is we're going to give you a walkthrough of the process from start to finish of what we're discussing, and we're going to demonstrate to you the best practice and how SAP IBP can also answer your requirements. Now, some requirements might not be answered, so we're going to assess them, right? We're going to see whether this is a fit or a gap. And then also, lastly, we're going to identify what needs to be changed, right? We're implementing a new tool, so we're going to introduce new processes.

13:22 - Conference Room (MM- SKEC2 - L08) - Speaker 3 All right. So where are we now? So we're now holding those design workshops. We're presenting you the leading practices. We're also gathered gaps. We've gathered some. We've gathered requirements from the as this as this assessments. But now we're showing you We're going into the tool for each of these modules. It's going to be an interactive session. We're going to show you the leading practice, but this is not the final design, I would say, session. We're going to tailor it after we conduct these workshops. We're going to tailor the design. Those sessions and your requirements.

14:12 - Conference Room (MM- SKEC2 - L08) - Speaker 3 So what are we covering?

14:14 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Just to be clarified, this is the actual design workshop because last session we were informed that these questions will be answered in the next design workshop. So these are the actual design workshops, right?

