Supply Planning - Purchasing & Refurbishment  
mar, 24 de sep de 2024

0:03 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Hi Najeeb, we'll start in a couple of minutes. Permits.

3:31 - Murugan Kaliaperumal (ADNOC - PE&ICV) I give you that.

4:36 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Hi, everyone. Hi, everyone. So we're going to start at 10.05. We'll just give it a few more minutes. For everyone to join.

4:50 - Unidentified Speaker Thank you.

4:51 - Nishant Keloth (Borouge) you Morning, everybody.

6:29 - Rahul Patel (ADNOC Group D&CS) Good morning.

8:48 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Hi, good morning everyone. Thanks for joining. Are we audible?

8:54 - Unidentified Speaker Just. Yes. Yeah, OK, perfect. Yes.

9:01 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Yeah, yeah, thank you. Thank you. Thank you for confirming. So today's session is about. Supply supply planning and refurbishment. And we should have some focal points for purchasing in this session, I believe. So we'll start the session now. So I believe all the participants are already aware of the project by now because they have been attending the sessions earlier. So if there are any new participants, we can give them a higher level overview. Otherwise, we'll directly go into the discussion. So if there are any participants Participants can raise their hands or let us know in the chat.

9:52 - Conference Room (MM- SKEC2 - L08) - Speaker 2 If it's fine, then we can continue with our discussion.

9:56 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Everyone is familiar, right?

10:10 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Hi, everyone. Good morning. To Khalid's point today, what we'll be talking about or what we want to understand is how do you conduct a supply plan? How do you do it? We talked about inventory replenishment today. What are the factors for stock transfer? How do you raise a purchase acquisition? Also repairs so how do you manage repairs and how it is identified that this material instead of for example instead of buying a new material we just need to repair that material.

11:00 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So maybe if someone can And, uh. I can start with what? It's the same onshore offshore. The more.

11:14 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Capital was.

11:17 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Welcome champion.

11:20 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Uh sorry. Um if someone can explain to us so after you found the happening, what happens after? So you've added the parameters for the specific material, what happens to that? And who's responsible? What team is it?

11:44 - Conference Room (MM- SKEC2 - L08) - Speaker 4 The buyer or it's also still part of the inventory.

12:01 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Murugan, are you on the call?

12:05 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, can you repeat the clarification?

12:10 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Sorry, say that again?

12:11 - Murugan Kaliaperumal (ADNOC - PE&ICV) Can you repeat the point?

12:15 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Do you want me to repeat the question? So yeah, it was more of OK, so once we've added the parameters for the specific material, the inventory planner has done this based on the demand.

12:33 - Conference Room (MM- SKEC2 - L08) - Speaker 1 What happens next? Who takes care of the supply planning? And what happens in the supply planning?

12:44 - Murugan Kaliaperumal (ADNOC - PE&ICV) What is your definition on supply planning?

12:46 - Unidentified Speaker activities. So how do you? Yeah. Yeah. So for example.

12:57 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Say that again.

12:57 - Murugan Kaliaperumal (ADNOC - PE&ICV) Your first box says publish supply plan.

13:02 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Right? Yes. So for this specific material, let's say you have, let's go into details. Like for example, for this supplier, how do you take into the lead time for this specific material? Who does this exercise of gathering the lead time for the supplier, gathering the requirements? I'd say the supplier cannot, can provide in multiple, has, let's say, a requirement of fulfillment. They cannot order, they cannot supply you one quantity. It has to be in batches.

13:39 - Murugan Kaliaperumal (ADNOC - PE&ICV) Who does all this Okay, well creating a material a new material through MDG There is another mandate for the user or for the creating authority materials engineer to obtain a budgetary quote But two reason one is to ensure that the material is still available from the market from the same manufacturer Second thing is to know the price and the lead time. Mm-hmm So which means they're trying to conquer, even before coding the material, that this material is available. Because probably our equipment was commissioned four years back, or the instrument was installed a few years back. Maybe that is upgraded now. No more of that model is available. Or the supplier is providing it, but we need to know how long it takes to buy lead time. Or we even need to know the price of that item for current price. For all these reasons, budgetary quotation has been obtained from the relevant purchaser if it is manufacturer specific item, right? So the data is obtained from that. If in case the budgetary quotes gets delayed, the price or the lead time is being assumed from a similar item from the same manufacturer, So this is our lead time and the price is calculated. For general item, we don't go by manufacturer. General item, I would say piping material, gaskets, or bearing. Though there is manufacturer for bearing, we don't go by manufacturer. We go by the similar item available in the database, find out what is the lead time.

15:27 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So this is our lead time. And the purchasing it for record, right? For the materials, you have a purchasing it for record, right?

15:36 - Murugan Kaliaperumal (ADNOC - PE&ICV) We have a purchasing for record in that we maintain only price if I'm right. We don't expect any other data from that. But however, they need to go and check what was every material record is saving a lead time for us. There is a field SAP default field delivery time. This field is updated automatically when the procurement cycle is completed. To PO cycle when it is completed. Sorry, PO to delivery cycle when it is completed. The lead time is automatically calculated and saved. This is happening on daily basis. So our reference, if we don't have a budget record, we will go to this data, find out a similar item or a similar manufactured product, and then find the lead time from there.

16:28 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But Murugan, let's say for the same material, right, you have three suppliers. Yeah, where is the lead time required?

16:39 - Conference Room (MM- SKEC2 - L08) - Speaker 3 During the IQ stage, when the suppliers they caught, and they put like in the remarkers, two or three weeks delivery, each supplier And it is recorded.

16:52 - Murugan Kaliaperumal (ADNOC - PE&ICV) Wait, wait, wait, this is before she's saying no more. The question is before while item is created, how do we? Where do we get this information for planning? Not during tendering stage. So yes, for a similar item, this is called what I address as general item, which is not manufactured specifically. We can buy from multiple manufacturer. We go find out a similar item in the database. Let's see what is the latest lead time for the datum. We consider the same lead time.

17:25 - Conference Room (MM- SKEC2 - L08) - Speaker 4 I think as mentioned by Murugan here about the categorization of the line items. We have considerable items with alternative or accepted manufacture which is already manufactured locally here in UAE so that we can expect the lead time between one to two weeks depending on the data. And the other one by already manufactured, the UAE by manufacturer which is already mentioned in our description as an OEM or manufacturer. Let's say that GA item so that we need to plan at least six months before in order to meet the end-user requirement. Already we have agreement with the end-user that any items required especially from the OEM, the reservation should be already in place in the system six months or at least 12 months before in advance in order For your input for

18:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) If the given item created first time through MDG or through AAN, if it's not having a lead time, you need to identify from a similar item and populate a lead time.

18:34 - Conference Room (MM- SKEC2 - L08) - Speaker 2 System need to predict the lead time in another way, right? System needs to predict.

18:40 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But it is up to the end user. The end user will specify that, OK, yes, this is a new material, but it is similar to material X that we have.

18:54 - Murugan Kaliaperumal (ADNOC - PE&ICV) No, they may not. They may not. No. They may not. It was metals engineer's responsibility. Of course, they get the budgetary quote. It will be there. Probably they may not, in all cases, say that this is similar to X item.

19:11 - Conference Room (MM- SKEC2 - L08) - Speaker 1 OK. The requirement here is that you want the system to do that automatically?

19:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) If you find a null lead time, because lead time is one of the parameters to calculate other outputs. A critical parameter for planning. So if you don't have a lead time, we need to get it from the Similar item.

19:39 - Rahul Patel (ADNOC Group D&CS) Is there anywhere defined in system? What is a similar item? Like how do we understand what is a similar item?

19:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) We need to arrive at the parameter during the workshop session.

19:49 - Rahul Patel (ADNOC Group D&CS) So right now we don't have anything which links to models which are similar.

19:54 - Murugan Kaliaperumal (ADNOC - PE&ICV) Uh, if I should repeat, I was said that there is a functionality a based which can identify similar item. Our way and then produce that's that's one of the advantage that's the only advantage we found from IBP from other tools which are giving inventory parameters. Okay, got it.

20:35 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Another thing, I just wanted to have a check if this is happening for all AGCs. I just had a, just before the this, I had a chat with Ahmed, and he mentioned, so there is two types of, we're doing twice the sourcing process, right? During when the SBIR, when we received the data in SBIR, the inventory planning, as we will go and add, we'll go to market to just add a price, and then on the material, and then the buyers will go when the PR is being created, there's another round of sourcing that's being done by the purchasing department. Is this happening for all agencies?

