To-Be Workshop - Demand - MRO EPC planning - Session 1 
mar, 15 de oct de 2024

0:01 - Unidentified Speaker So I can sit on my run. You.

3:16 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Hi everyone, we just gave another five minutes for everyone to join and then we'll. Start.

3:21 - Nishant Keloth (Borouge) you Morning everybody.

5:04 - Unidentified Speaker Morning good morning morning.

5:10 - Conference Room (MM- SKEC2 - L08) - Speaker 3 We're just giving 2-3 minutes for everyone to join. We started.

5:13 - Nishant Keloth (Borouge) Prathviraj, good morning.

5:30 - Prathviraj Anchan (Borouge) Good morning everyone.

5:34 - Nishant Keloth (Borouge) Prathviraj, gunawan you need, do you think he's needed for this one? Then just try to forward it to him and ask him to join in case he hasn't got the meeting invite.

5:48 - Unidentified Speaker OK.

5:49 - Nishant Keloth (Borouge) Anybody whom you think is important for this one, MRO EPC planning, ask them to join. Thanks.

5:57 - Unidentified Speaker Thank you. Okay.

6:52 - Conference Room (MM- SKEC2 - L08) - Speaker 3 you more people.

9:00 - Unidentified Speaker Very, very supportive.

9:07 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Everyone, thank you for your time for the session. I'm going to get started now. I see a lot of familiar faces, so we won't spend a lot of time in introduction. So the agenda for today is give an overview. We run through the EPC process. We discussed the demand inputs such as master data, transaction inputs to the process. We discussed statical forecast and the user adjustment. And then finally we talk about collaboration and then we can give a recap of what all we discussed and agreed during the meeting. So the objective today is to basically run through the EPC project and discuss how SAP IBP can support this process. We would want to identify by what recommended process activities are fit for ad-hoc environment, and if there are any adjustment required, if there are any gaps, how IPV can work on it, and how can the process be modified based on the requirements.

10:10 - Conference Room (MM- SKEC2 - L08) - Speaker 3 So, as you all know, we've finished the assess phase. We had a round of workshops for the assess phase across demand, inventory, and supply. Currently, we are doing to-be workshops. Last week, we completed demand workshops from MRO. Today, we are focusing on EPC, and then from next week, we focus on inventory and then supply following that. So, we had discussed corrective maintenance, preventive maintenance, and new parts in the last workshop. Today, we'll just focus on demand planning for EPC.

10:53 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Good morning, everyone. Just to recap a little bit of the last couple of sessions, we are in EPC, but specifically into the demand part. So what is the objective here is to define what is the agreed material forecasts, part at a monthly level for the next five years. That's one of our main definitions already that we're going to plan on a monthly level with a planning horizon of five years. And this forecast will be at material and location level. And I think we're still defining if we're going to include the resources. When we speak about resources, we mean workforce, okay?

11:46 - Conference Room (MM- SKEC2 - L08) - Speaker 4 If we go to the next slide, please. This is the process, as you can see here.

11:55 - Conference Room (MM- SKEC2 - L08) - Speaker 4 This is what we are addressing during this workshop, where we're going to have, of course, activities. In this case, EPC activities, new equipment, and this will create demand of parts. And this part will then get translated into once all the demand process is finished, this demand will be integrated into the supply planning part, where at the end of the project, at the end of the planning process, we're going to generate a procurement and distribution plan, which at the end, on a quarterly basis, we can generate a total cost plan.

12:51 - Conference Room (MM- SKEC2 - L08) - Speaker 2 So I'm sure. You You all know your your process. So in order to, um as you can see, this is the demand planning. If it's the process, what we've done is with me. We're making sure that we're getting all the required data and incorporating IBP. So I'll just walk you through the process at a high level, your existing process. So once the contractor adds in the equipments and SPIR package, we have the first approval NAIN, right, from the material engineering to make sure that the description of those materials are correct. Now your existing process has the inventory controller to review the order quantity. Now, there won't be any need for this because we can have this process in IBP. So what will happen is that once it's been reviewed by the materials engineering for the description, it can go up, go to the maintenance, yeah, user to review the equipment data and BOM, and then it goes to the ERP to create the material. The reason why we're doing that is that SAP IBP needs a material code. Now, once that material gets transferred to IBP, then we take that information that material gets in SAP, then we take that information to IBP. So the material from SAP and the quantity from AIR. Now, what yesterday we've discussed with Satish, that the material you also transfer the material or the contractor input into SAP. If that is the case, then we don't need to do any integration in AIN, so we can take all the information, the material, we can take the quantity input from SAP S4. There will be some also, other we'll discuss this later, so we need also other data inputs, such as the project start date and then commissioning, and then as well as the lead time. But once we get that data, then the EAM user will then analyze the input, EPC input, and then also compare it to reference materials based on consumption. If there are any adjustments required, they will do so, adjust the forecasted demand, and then it goes to the inventory planner. The inventory planner will then review that, will consolidate the demand plan per category as per our discussion last week. The inventory controller will then have to do it per category, will conduct the meeting to finalize the demand plan, and then once this is finalized, they freeze that demand, and then it goes to the next step, which is inventory planning and supply planning.

16:28 - Nishant Keloth (Borouge) So, a quick question on this. So, the starting point is basically after the material gets created, right? Once the material is replicated from AIN, so that's when it triggers to the IBP, is it so?

16:42 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Correct, yes. We need the material to be created and OK.

16:53 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Right, and this is how we're gonna. What is the difference? It will be the same process. Yeah, like other.

17:00 - Nishant Keloth (Borouge) That's what I'm wondering.

17:01 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Yeah. Yes, it will be the same process. We just wanted to add this. You know a process we have to look at it from start to finish so.

17:13 - Nishant Keloth (Borouge) No, no, I understand that. My point is any other material as well as a new material which is getting created today through AI and or another material which is getting created by cataloging team is that the trigger point is same, right? So are they? Are we going to have any other? No trigger or any other option where we specifically do for only these which is coming from AI in or no?

17:38 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, the project.

17:40 - Nishant Keloth (Borouge) planning sorry in the shot if you can uh I didn't get your question when when you say planning for epc that means when you trigger that planning in IBP will it only pick those new materials which are created through

17:59 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) aion system is that so all the materials yeah apart from material the the planning the what we are looking for actually all the the epc project uh so is to be registered or uh to be planned within IBP this is our main intention isn't it yeah we call the planning part of it yes so there is no material actually correct there is no material in ai there's no material code in AIN, but once, based on the as-is discussions,

18:46 - Conference Room (MM- SKEC2 - L08) - Speaker 2 your main objective for EPC is that you want to make sure, specifically from a demand planning perspective, is that you want to be able to make sure that whatever the EPC contractor has put in as input is valid, right, based on consumption, similar products. So you just want to be able to challenge the contractor to make sure that whatever they are putting is correct. Now, here from a best practice perspective is that we need a material code in SAP. So what we're proposing is that, yes, the contractor let's say, material number, which is the manufacturer part number. But once it gets reviewed by the cataloging team, it's going to get transferred to MDG and then gets transferred to SAP to create the material.

19:45 - Nishant Keloth (Borouge) I got that. I got that. My question is, again, so are we going to execute these plannings per project of an EPC, or we just execute it for the whole any any PC projects which are there at that point in time?

